School.Name,State,School.Sector,School.Type,Geolocation,ICSEA,Full.Time.Teaching.Staff,Full.Time.Non.Teaching.Staff,Total.Enrolments,Girls.Enrolments,Boys.Enrolments,Indigenous.Enrolments.Percentage,LBOTE.Percentage
Gin Gin State High School,QLD,Government,Secondary,Outer Regional,943,44.3,20.2,454,221,233,7,2
Kenmore State High School,QLD,Government,Secondary,Major Cities,1106,139.3,42,1859,894,965,1,19
Kilcoy State High School,QLD,Government,Secondary,Inner Regional,969,39.3,18.5,413,213,200,6,15
Blackwater State High School,QLD,Government,Secondary,Outer Regional,934,32.9,15.9,345,164,181,18,6
Moranbah State High School,QLD,Government,Secondary,Outer Regional,963,55.6,23.5,687,314,373,10,9
Moura State High School,QLD,Government,Secondary,Outer Regional,924,18.5,12.5,186,86,100,13,2
James Nash State High School,QLD,Government,Secondary,Inner Regional,970,99,41.3,1248,602,646,9,3
Kingston State College,QLD,Government,Secondary,Major Cities,922,81.5,35.1,913,455,458,15,20
Springwood State High School,QLD,Government,Secondary,Major Cities,973,53.5,25.4,628,321,307,6,25
Dakabin State High School,QLD,Government,Secondary,Major Cities,951,87.9,32.6,976,494,482,9,17
St George State High School,QLD,Government,Secondary,Remote,877,25.6,16.4,199,97,102,49,3
Miles State High School,QLD,Government,Secondary,Outer Regional,958,17,11.1,157,72,85,11,8
Burnside State High School,QLD,Government,Secondary,Major Cities,987,75.1,24.4,811,391,420,9,5
Kirwan State High School,QLD,Government,Secondary,Outer Regional,944,140.6,60.8,1885,940,945,22,12
Merrimac State High School,QLD,Government,Secondary,Major Cities,1014,96.4,44.3,1229,624,605,3,19
Ferny Grove State High School,QLD,Government,Secondary,Major Cities,1062,139.6,55.6,1802,847,955,3,9
Shailer Park State High School,QLD,Government,Secondary,Major Cities,986,83.3,24.7,987,457,530,5,10
Benowa State High School,QLD,Government,Secondary,Major Cities,1058,141.3,45.9,1889,1031,858,2,35
Rosewood State High School,QLD,Government,Secondary,Inner Regional,896,49.4,24.9,517,250,267,16,2
Toolooa State High School,QLD,Government,Secondary,Inner Regional,973,82.7,34.5,994,507,487,10,9
Loganlea State High School,QLD,Government,Secondary,Major Cities,926,66.4,49.1,633,301,332,15,18
Morayfield State High School,QLD,Government,Secondary,Major Cities,948,101.4,35.9,1359,667,692,11,11
Albany Creek State High School,QLD,Government,Secondary,Major Cities,1046,102.3,34,1367,658,709,3,7
Dysart State High School,QLD,Government,Secondary,Outer Regional,939,16.6,11.9,157,82,75,11,4
Nanango State High School,QLD,Government,Secondary,Inner Regional,929,52.7,27.8,526,250,276,11,2
Rochedale State High School,QLD,Government,Secondary,Major Cities,1018,104.5,31.5,1408,699,709,4,16
Tropical North Learning Academy - Smithfield State High School,QLD,Government,Secondary,Outer Regional,989,95.6,34.7,1198,552,646,11,17
Lowood State High School,QLD,Government,Secondary,Inner Regional,926,65.6,27.2,704,338,366,12,1
Mabel Park State High School,QLD,Government,Secondary,Major Cities,898,94.6,36.5,1116,534,582,14,45
Woree State High School,QLD,Government,Secondary,Outer Regional,879,82.5,43,934,425,509,41,25
Laidley State High School,QLD,Government,Secondary,Inner Regional,935,64.4,25.7,721,373,348,13,3
Browns Plains State High School,QLD,Government,Secondary,Major Cities,966,82.6,32.1,968,474,494,4,28
Coolum State High School,QLD,Government,Secondary,Major Cities,1029,89.1,28.9,1158,524,634,3,6
Coombabah State High School,QLD,Government,Secondary,Major Cities,995,89.2,30.3,1099,476,623,5,15
Runcorn State High School,QLD,Government,Secondary,Major Cities,969,82.5,36.9,846,418,428,4,51
Pioneer State High School,QLD,Government,Secondary,Inner Regional,911,49.8,26,579,272,307,25,8
Nerang State High School,QLD,Government,Secondary,Major Cities,970,89.3,32.8,1097,536,561,7,9
Collinsville State High School,QLD,Government,Secondary,Remote,921,14,9.1,96,46,50,14,6
Thuringowa State High School,QLD,Government,Secondary,Outer Regional,857,70.6,31.6,728,350,378,38,12
Bray Park State High School,QLD,Government,Secondary,Major Cities,987,82.1,32.7,1001,474,527,7,10
Redbank Plains State High School,QLD,Government,Secondary,Major Cities,927,124.5,47.2,1525,729,796,8,44
Alexandra Hills State High School,QLD,Government,Secondary,Major Cities,981,120.3,43.9,1469,642,827,7,9
Marsden State High School,QLD,Government,Secondary,Major Cities,944,166.8,70.7,2482,1126,1356,8,38
Maleny State High School,QLD,Government,Secondary,Inner Regional,1041,58.8,24.7,669,335,334,3,6
Wellington Point State High School,QLD,Government,Secondary,Major Cities,1004,71.2,26.3,915,441,474,6,9
Toogoolawah State High School,QLD,Government,Secondary,Inner Regional,959,29.7,14.7,265,128,137,4,4
Bribie Island State High School,QLD,Government,Secondary,Inner Regional,974,95,34.7,1231,603,628,8,5
Capella State High School,QLD,Government,Secondary,Remote,924,15,7,101,42,59,12,1
Elanora State High School,QLD,Government,Secondary,Major Cities,1008,79.8,37.8,979,466,513,5,9
Helensvale State High School,QLD,Government,Secondary,Major Cities,1024,180.6,55.8,2446,1229,1217,2,11
Clermont State High School,QLD,Government,Secondary,Remote,960,19.4,9.8,176,84,92,6,2
William Ross State High School,QLD,Government,Secondary,Outer Regional,980,67.7,28.9,791,394,397,14,9
Park Ridge State High School,QLD,Government,Secondary,Major Cities,958,105.4,48.2,1359,675,684,7,14
Tullawong State High School,QLD,Government,Secondary,Major Cities,942,89.9,39.9,1018,563,455,13,8
Windaroo Valley State High School,QLD,Government,Secondary,Major Cities,983,92.9,28.6,1143,574,569,5,12
Mountain Creek State High School,QLD,Government,Secondary,Major Cities,1041,154.6,41.4,2115,1068,1047,3,10
Tamborine Mountain State High School,QLD,Government,Secondary,Major Cities,1046,73.1,31,991,500,491,2,6
Chancellor State College,QLD,Government,Combined,Major Cities,1039,222.3,70.2,3124,1515,1609,4,9
Brisbane Youth Education and Training Centre,QLD,Government,Combined,Major Cities,865,37.7,19.6,136,23,113,55,10
Flagstone State Community College,QLD,Government,Secondary,Major Cities,953,71.6,28.5,866,403,463,8,6
North Lakes State College,QLD,Government,Combined,Major Cities,1027,204,62,2905,1448,1457,3,22
Upper Coomera State College,QLD,Government,Combined,Major Cities,970,165.1,66.6,1993,969,1024,5,15
Clover Hill State School,QLD,Government,Primary,Major Cities,1052,60.7,21.6,975,488,487,4,10
Townsville Community Learning Centre - A State Special School,QLD,Government,Special,Outer Regional,933,54,50.1,185,60,125,27,11
Kelvin Grove State College,QLD,Government,Combined,Major Cities,1128,227.5,68.2,3415,1705,1710,1,37
Whites Hill State College,QLD,Government,Combined,Major Cities,1013,72,32.2,722,340,382,5,29
Logan City Special School,QLD,Government,Special,Major Cities,966,38.8,32,166,43,123,10,30
Rosella Park School,QLD,Government,Special,Inner Regional,952,22,21.6,86,35,51,10,5
Burdekin School,QLD,Government,Special,Outer Regional,980,4.2,5.8,16,9,7,6,14
Mount Isa Special School,QLD,Government,Special,Remote,882,9.1,9.7,32,7,25,53,9
Mitchelton Special School,QLD,Government,Special,Major Cities,1048,34.9,34.3,134,31,103,5,10
Gympie Special School,QLD,Government,Special,Inner Regional,976,15.8,15.5,64,12,52,5,5
Redcliffe Special School,QLD,Government,Special,Major Cities,989,26.4,26.3,116,40,76,10,11
Rockhampton Special School,QLD,Government,Special,Inner Regional,938,17.3,15.6,67,24,43,19,3
Pine Rivers Special School,QLD,Government,Special,Major Cities,1013,53.3,44.7,210,62,148,10,10
Mackenzie State Special School,QLD,Government,Special,Major Cities,1046,28.2,28.5,115,40,75,3,16
Western Suburbs State Special School,QLD,Government,Special,Major Cities,998,41.4,40.9,179,52,127,8,31
Ipswich West Special School,QLD,Government,Special,Major Cities,959,22.3,20.3,96,23,73,11,4
Maryborough Special School,QLD,Government,Special,Inner Regional,948,18.4,17.3,79,23,56,13,1
Ipswich Special School,QLD,Government,Special,Major Cities,968,36,34,89,43,46,18,10
Darling Point Special School,QLD,Government,Special,Major Cities,1003,30.3,32.7,117,42,75,11,10
Southport Special School,QLD,Government,Special,Major Cities,1015,63.9,50.6,263,89,174,5,14
Bundaberg Special School,QLD,Government,Special,Inner Regional,948,30.5,28.9,99,29,70,17,5
Aspley Special School,QLD,Government,Special,Major Cities,1035,28.8,27.3,99,29,70,4,19
Toowoomba West Special School,QLD,Government,Special,Inner Regional,962,23.6,29.5,96,25,71,23,10
Redland District Special School,QLD,Government,Special,Major Cities,1010,37.9,30.4,154,50,104,8,4
Goodna Special School,QLD,Government,Special,Major Cities,959,34.5,30.1,160,52,108,20,30
Queensland Pathways State College,QLD,Government,Secondary,Major Cities,967,24.2,19.8,206,100,106,20,11
Rockhampton North Special School,QLD,Government,Special,Inner Regional,942,25.4,21,111,32,79,23,6
Nambour Special School,QLD,Government,Special,Major Cities,1012,36.6,31.9,147,48,99,5,3
Kuraby Special School,QLD,Government,Special,Major Cities,1016,19.3,20.3,71,28,43,1,39
Woody Point Special School,QLD,Government,Special,Major Cities,1009,25.7,30.2,91,25,66,10,2
Currumbin Community Special School,QLD,Government,Special,Major Cities,1027,24.8,21.5,89,27,62,4,4
Caboolture Special School,QLD,Government,Special,Major Cities,969,58,56.4,249,76,173,14,3
Mudgeeraba Special School,QLD,Government,Special,Major Cities,1008,38.6,31.5,154,56,98,9,12
Beenleigh Special School,QLD,Government,Special,Major Cities,964,36.5,47,166,44,122,14,10
Currimundi Special School,QLD,Government,Special,Major Cities,1016,58.3,45.2,209,63,146,10,3
Calamvale Special School,QLD,Government,Special,Major Cities,985,35.4,39.3,154,57,97,6,18
Hervey Bay Special School,QLD,Government,Special,Inner Regional,955,26.5,25.1,103,40,63,19,2
Claremont Special School,QLD,Government,Special,Major Cities,981,37.4,34,150,44,106,9,8
Geebung Special School,QLD,Government,Special,Major Cities,1020,29.5,28.8,104,29,75,7,23
Sunnybank Special School,QLD,Government,Special,Major Cities,1017,13.7,12.4,48,11,37,6,52
Mackay District Special School,QLD,Government,Special,Inner Regional,935,20,20.8,84,22,62,23,5
Nursery Road State Special School,QLD,Government,Special,Major Cities,1039,47.9,49.8,146,42,104,6,22
Red Hill Special School,QLD,Government,Special,Major Cities,1085,29.1,26.7,78,38,40,1,21
Clifford Park Special School,QLD,Government,Special,Inner Regional,936,44.3,47,138,47,91,22,7
Mount Ommaney Special School,QLD,Government,Special,Major Cities,1057,31.8,41.9,98,30,68,3,24
Narbethong State Special School,QLD,Government,Special,Major Cities,1042,29.6,33.4,54,22,32,6,15
Cairns School of Distance Education,QLD,Government,Combined,Outer Regional,1013,117.4,38.2,2291,1396,895,15,10
Charleville School of Distance Education,QLD,Government,Combined,Very Remote,965,28.6,9.1,216,94,122,17,2
Mount Isa School of the Air,QLD,Government,Combined,Remote,999,24.7,8.2,155,73,82,9,1
Brisbane School of Distance Education,QLD,Government,Combined,Major Cities,1035,224.9,68,3641,2055,1586,5,11
Charters Towers School of Distance Education,QLD,Government,Combined,Outer Regional,973,77,19.9,2024,847,1177,18,2
Longreach School of Distance Education,QLD,Government,Combined,Very Remote,1010,24.7,10.7,192,97,95,5,1
Capricornia School of Distance Education,QLD,Government,Combined,Outer Regional,959,103,20.3,3041,1491,1550,13,2
Earnshaw State College,QLD,Government,Combined,Major Cities,1007,62.7,28.6,736,348,388,7,26
Capalaba State College,QLD,Government,Combined,Major Cities,974,73.1,37.2,832,404,428,7,14
Burpengary Meadows State School,QLD,Government,Primary,Major Cities,1003,40.8,19.5,648,320,328,3,4
Stretton State College,QLD,Government,Combined,Major Cities,1064,185,73.5,2789,1353,1436,1,57
Springfield Lakes State School,QLD,Government,Primary,Major Cities,1024,70.7,29.2,1176,581,595,3,28
Kawana Waters State College,QLD,Government,Combined,Major Cities,1022,122.8,45.5,1661,831,830,4,10
Kuranda District State College,QLD,Government,Combined,Outer Regional,897,30.3,21.4,324,152,172,47,14
Park Lake State School,QLD,Government,Primary,Major Cities,1028,68.5,23.8,1081,544,537,4,14
Coomera Springs State School,QLD,Government,Primary,Major Cities,1008,55.9,23.5,908,459,449,5,13
Bounty Boulevard State School,QLD,Government,Primary,Major Cities,1016,84.4,34.9,1406,695,711,4,22
Highland Reserve State School,QLD,Government,Primary,Major Cities,1026,59.6,24.7,912,457,455,4,11
Ormeau Woods State High School,QLD,Government,Secondary,Major Cities,1004,99.6,41.4,1348,662,686,3,5
Southern Cross Catholic College,QLD,Catholic,Combined,Major Cities,1042,107.6,63.4,1569,788,781,4,5
MacKillop Catholic Primary School,QLD,Catholic,Primary,Inner Regional,1012,12.1,7.7,193,106,87,7,3
Marist College,QLD,Catholic,Secondary,Outer Regional,1000,52,23.9,545,240,305,6,9
Good Shepherd Catholic School,QLD,Catholic,Primary,Outer Regional,940,21.3,17.1,350,157,193,20,9
Emmanuel Catholic Primary School,QLD,Catholic,Primary,Inner Regional,1039,32.7,12.2,566,309,257,3,8
Holy Spirit College,QLD,Catholic,Secondary,Inner Regional,1028,69,36.3,880,412,468,5,12
Siena Catholic College,QLD,Catholic,Secondary,Major Cities,1082,66.4,27.3,899,486,413,1,2
St Mary MacKillop Primary School,QLD,Catholic,Primary,Major Cities,1085,32.5,15.7,568,281,287,1,5
Southern Cross Catholic College,QLD,Catholic,Combined,Outer Regional,1042,90.6,41.3,1198,563,635,6,11
Columba Catholic College,QLD,Catholic,Combined,Outer Regional,969,39.2,30.9,466,227,239,15,3
The Centre Education Programme,QLD,Catholic,Special,Major Cities,870,10.7,11.3,131,54,77,24,6
Jubilee Primary School,QLD,Catholic,Primary,Major Cities,1060,35.6,13.5,624,302,322,2,5
St Andrew's Catholic College Redlynch Valley,QLD,Catholic,Combined,Outer Regional,1076,131.5,51.8,1690,883,807,3,9
Emmaus College,QLD,Catholic,Combined,Inner Regional,1027,86.4,42.4,1402,733,669,1,2
Siena Catholic Primary School,QLD,Catholic,Primary,Major Cities,1088,34.2,15.8,628,311,317,3,3
Youth and Community Learning Centre,QLD,Catholic,Special,Inner Regional,787,4.5,2.8,38,23,15,61,2
Xavier Catholic College,QLD,Catholic,Combined,Inner Regional,1036,76,32.5,1107,546,561,4,2
Mary MacKillop Catholic College,QLD,Catholic,Combined,Inner Regional,1058,54.4,28.1,726,352,374,2,2
St Teresa's Catholic College,QLD,Catholic,Secondary,Major Cities,1064,59.4,30.1,786,411,375,1,2
St Stephen's School,QLD,Catholic,Primary,Major Cities,1066,30.4,12.3,531,255,276,1,28
St Augustine's College,QLD,Catholic,Combined,Major Cities,1050,92.2,52.5,1433,727,706,3,13
St Oliver Plunkett School,QLD,Catholic,Primary,Major Cities,1088,32.5,16.4,567,290,277,0,9
Mt Maria College - Petrie,QLD,Catholic,Secondary,Major Cities,1002,46,35.5,408,163,245,5,11
Christ the King School,QLD,Catholic,Primary,Major Cities,1161,16.2,6.5,239,133,106,0,3
St Edward the Confessor School,QLD,Catholic,Primary,Major Cities,1077,30.5,14.1,560,288,272,1,10
Guardian Angels' Primary School,QLD,Catholic,Primary,Major Cities,1087,34.1,13.4,538,267,271,4,9
Holy Cross School,QLD,Catholic,Primary,Major Cities,1126,15.9,8.3,198,98,100,1,7
Holy Family Primary School,QLD,Catholic,Primary,Major Cities,1138,15.4,8.9,247,164,83,0,20
St Mary of the Cross School,QLD,Catholic,Primary,Major Cities,1008,8.4,6.2,92,38,54,21,25
Holy Spirit School,QLD,Catholic,Primary,Major Cities,1147,16.8,5.2,271,146,125,0,19
Holy Spirit School,QLD,Catholic,Primary,Major Cities,1033,34.8,17.1,575,305,270,3,20
Immaculate Heart School,QLD,Catholic,Primary,Major Cities,985,14.8,7.1,213,105,108,14,10
Mary Immaculate Primary School,QLD,Catholic,Primary,Major Cities,1061,12.2,3,118,65,53,3,40
Mater Dei Catholic Primary School,QLD,Catholic,Primary,Major Cities,1152,15.2,7,236,133,103,0,5
Our Lady Help of Christians School,QLD,Catholic,Primary,Major Cities,1119,10.4,4.4,142,70,72,1,11
Our Lady of Dolours School,QLD,Catholic,Primary,Major Cities,1140,12,6.7,180,98,82,1,11
Our Lady of Fatima Primary School,QLD,Catholic,Primary,Major Cities,1031,12.7,6,164,90,74,2,45
Our Lady of Lourdes Primary School,QLD,Catholic,Primary,Major Cities,1100,29,11,534,290,244,1,36
Our Lady of Mount Carmel School,QLD,Catholic,Primary,Major Cities,1164,32.8,13.1,594,343,251,1,7
Our Lady of the Angels' School,QLD,Catholic,Primary,Major Cities,1113,37,13.9,617,374,243,1,9
Our Lady of the Assumption School,QLD,Catholic,Primary,Major Cities,1103,23.6,15.7,379,189,190,2,7
Our Lady of the Rosary School,QLD,Catholic,Primary,Major Cities,1140,28.2,14.2,469,247,222,0,7
Our Lady of the Sacred Heart Catholic Primary School,QLD,Catholic,Primary,Major Cities,1059,31.4,11.8,501,246,255,0,44
Our Lady of the Way School,QLD,Catholic,Primary,Major Cities,1054,21.8,15.6,339,151,188,3,10
Queen of Apostles Primary School,QLD,Catholic,Primary,Major Cities,1113,28.1,16.9,461,245,216,1,9
Sacred Heart School,QLD,Catholic,Primary,Major Cities,1029,32.2,14.5,563,290,273,6,9
Sacred Heart Primary School,QLD,Catholic,Primary,Major Cities,1097,16.3,6.3,209,125,84,2,6
St Agatha's Primary School,QLD,Catholic,Primary,Major Cities,1159,19.7,10.6,344,218,126,1,6
St Agnes School,QLD,Catholic,Primary,Major Cities,1129,21.2,9.6,350,190,160,1,11
St Ambrose's Primary School,QLD,Catholic,Primary,Major Cities,1148,15.7,5.8,240,135,105,0,3
St Anthony's School,QLD,Catholic,Primary,Major Cities,1135,34.8,13.3,671,389,282,1,5
St Bernard's School,QLD,Catholic,Primary,Major Cities,1076,22.4,8.4,328,164,164,2,30
St Brendan's Primary School,QLD,Catholic,Primary,Major Cities,982,11.2,4.6,67,35,32,4,46
St Catherine's Catholic Primary School,QLD,Catholic,Primary,Major Cities,1115,29.5,13.5,508,259,249,3,18
St Columba's Primary School,QLD,Catholic,Primary,Major Cities,1184,34,17,581,304,277,0,3
St Bernardine's School,QLD,Catholic,Primary,Major Cities,1029,42,21.6,740,393,347,3,18
St Dympna's Parish School,QLD,Catholic,Primary,Major Cities,1110,37.1,19.5,676,376,300,1,18
St Elizabeth's School,QLD,Catholic,Primary,Major Cities,1144,21.4,8.4,351,193,158,1,7
St Finbarr's School,QLD,Catholic,Primary,Major Cities,1150,13.9,3.3,181,108,73,1,9
St Flannan's School,QLD,Catholic,Primary,Major Cities,1048,24.9,12.9,392,182,210,4,52
St Francis Xavier's School,QLD,Catholic,Primary,Major Cities,1002,32.4,11.1,542,240,302,6,38
St Gerard Majella Primary School,QLD,Catholic,Primary,Outer Regional,1070,22.3,13.3,403,194,209,4,16
St Ignatius School,QLD,Catholic,Primary,Major Cities,1183,15.5,6.3,249,160,89,0,12
St Ita's Regional Primary School,QLD,Catholic,Primary,Major Cities,1143,22.1,6.3,362,194,168,0,17
St James Primary School,QLD,Catholic,Primary,Major Cities,1108,11.3,5.2,161,68,93,2,19
St Joachim's School,QLD,Catholic,Primary,Major Cities,1122,19.5,7.8,326,167,159,2,7
St John Vianney's Primary School,QLD,Catholic,Primary,Major Cities,1107,25.7,11.4,452,258,194,1,4
St Joseph's School,QLD,Catholic,Primary,Major Cities,1171,23.4,7.5,390,229,161,0,4
St Joseph's Primary School,QLD,Catholic,Primary,Major Cities,1140,27.6,6.2,469,260,209,0,22
St Joseph's Primary School,QLD,Catholic,Primary,Major Cities,1148,18.5,9.2,319,170,149,1,16
St Joseph's School,QLD,Catholic,Primary,Major Cities,1021,20.7,11.6,363,165,198,5,3
Ambrose Treacy College,QLD,Catholic,Combined,Major Cities,1124,87.8,84.1,1203,0,1203,4,10
St Joseph's School,QLD,Catholic,Primary,Major Cities,1100,12.7,5,155,81,74,4,23
St Joseph's Tobruk Memorial School,QLD,Catholic,Primary,Major Cities,1011,23.6,11.8,352,185,167,6,11
St Joseph's Catholic Primary School,QLD,Catholic,Primary,Major Cities,1071,39.8,20.6,665,346,319,2,18
St Kevin's School,QLD,Catholic,Primary,Major Cities,1098,17.8,9.4,287,163,124,1,10
St Kieran's School,QLD,Catholic,Primary,Major Cities,1083,17.9,11.3,310,169,141,1,7
St Mark's School,QLD,Catholic,Primary,Major Cities,972,32.2,13.3,497,233,264,4,74
St Martin's School,QLD,Catholic,Primary,Major Cities,1116,41.7,14.4,714,405,309,1,9
St Mary's Primary School,QLD,Catholic,Primary,Major Cities,1055,31.6,15.7,573,300,273,6,6
St Paul's School,QLD,Catholic,Primary,Major Cities,951,25,13.2,314,152,162,6,75
St Peter Chanel Primary School,QLD,Catholic,Primary,Major Cities,1123,23.2,9.6,372,196,176,2,4
St Peter's Catholic Primary School,QLD,Catholic,Primary,Major Cities,1030,37.8,14.5,654,334,320,4,15
Sts Peter and Paul's School,QLD,Catholic,Primary,Major Cities,1154,35.3,18.7,651,358,293,1,7
St Peter's Primary School,QLD,Catholic,Primary,Major Cities,1075,28.6,11.7,501,239,262,2,17
St Pius' Primary School,QLD,Catholic,Primary,Major Cities,1115,24.5,10.4,421,200,221,1,12
St Pius X School,QLD,Catholic,Primary,Major Cities,1108,11.2,5.7,149,81,68,3,16
St Sebastian's Primary School,QLD,Catholic,Primary,Major Cities,1125,16,5.2,206,115,91,1,17
St Thomas' School,QLD,Catholic,Primary,Major Cities,1143,18.9,9.1,319,172,147,1,3
St Matthew's School,QLD,Catholic,Primary,Major Cities,1056,33.2,12.9,530,286,244,3,8
St William's Primary School,QLD,Catholic,Primary,Major Cities,1111,25,13.5,439,224,215,3,10
Christ the King Catholic Primary School,QLD,Catholic,Primary,Major Cities,981,18,15.6,307,130,177,9,7
St Anthony's School,QLD,Catholic,Primary,Major Cities,1039,31.4,12.8,479,218,261,3,8
St Andrew's Catholic School,QLD,Catholic,Primary,Major Cities,1112,37.2,15.9,621,310,311,2,6
All Saints' School,QLD,Catholic,Primary,Inner Regional,1040,11.9,5.6,166,73,93,2,0
Guardian Angels' Catholic Primary School,QLD,Catholic,Primary,Major Cities,1076,41.4,24.5,741,362,379,1,7
Marymount Primary School,QLD,Catholic,Primary,Major Cities,1086,51.6,27.7,1020,531,489,2,5
Our Lady of Good Counsel School,QLD,Catholic,Primary,Inner Regional,990,18.2,9.4,263,122,141,5,25
St Augustine's Parish Primary School,QLD,Catholic,Primary,Major Cities,1091,28.8,10.9,533,301,232,2,3
St Brigid's Primary School,QLD,Catholic,Primary,Inner Regional,995,11.2,8.8,175,102,73,7,0
St Francis Xavier School,QLD,Catholic,Primary,Major Cities,1078,32.9,24.4,626,302,324,1,8
St Joseph's School,QLD,Catholic,Primary,Inner Regional,993,7.2,4.5,74,38,36,9,4
St Joseph's School,QLD,Catholic,Primary,Outer Regional,1022,7.2,3.5,67,34,33,6,3
St Joseph's School,QLD,Catholic,Primary,Inner Regional,810,11,9.9,122,59,63,61,1
St John's College,QLD,Catholic,Secondary,Major Cities,1061,57.9,26.5,789,396,393,2,1
St Mary's School,QLD,Catholic,Primary,Inner Regional,1021,20.6,12.6,349,172,177,5,3
St Mary's School,QLD,Catholic,Primary,Inner Regional,1001,19.1,9.9,259,126,133,8,4
St Mary's Primary School,QLD,Catholic,Primary,Inner Regional,1036,19.1,9.9,296,142,154,6,8
St Patrick's Primary School,QLD,Catholic,Primary,Inner Regional,1043,20.8,11.3,280,143,137,6,7
St Patrick's Primary School,QLD,Catholic,Primary,Inner Regional,939,8,4.6,69,30,39,9,0
Star of the Sea Catholic School,QLD,Catholic,Primary,Inner Regional,1035,19.5,9.5,327,160,167,4,1
St Vincent's Primary School,QLD,Catholic,Primary,Major Cities,1105,42.6,12.8,769,395,374,2,7
St Kevin's School,QLD,Catholic,Primary,Major Cities,1083,30.7,11.7,531,258,273,1,14
Our Lady of the Rosary School,QLD,Catholic,Primary,Major Cities,1081,20.3,8.5,333,171,162,3,4
Stella Maris School,QLD,Catholic,Primary,Major Cities,1077,44,21,822,418,404,2,4
Marian Catholic School,QLD,Catholic,Primary,Outer Regional,1042,19.9,10.9,372,188,184,5,4
St Stephen's Catholic College,QLD,Catholic,Secondary,Outer Regional,1042,52.3,20.7,542,275,267,4,5
Holy Name Primary School,QLD,Catholic,Primary,Inner Regional,996,10.7,3.7,147,87,60,8,21
Mater Dei Primary School,QLD,Catholic,Primary,Inner Regional,1119,25.6,10.6,415,202,213,2,3
Our Lady of Lourdes Primary School,QLD,Catholic,Primary,Inner Regional,1033,22.3,10.4,395,212,183,9,5
Sacred Heart Primary School,QLD,Catholic,Primary,Very Remote,837,6.2,4.2,68,37,31,60,3
Sacred Heart Primary School,QLD,Catholic,Primary,Inner Regional,1003,13.3,9.8,233,117,116,5,11
St Anthony's School,QLD,Catholic,Primary,Inner Regional,1028,15.7,7,258,134,124,8,16
St Francis' College,QLD,Catholic,Combined,Major Cities,964,85.7,43.6,1035,519,516,5,48
St Finbarr's School,QLD,Catholic,Primary,Very Remote,950,3.3,2.6,20,5,15,35,0
St Francis de Sales School,QLD,Catholic,Primary,Inner Regional,992,5,2.6,65,27,38,9,3
St Joseph's School,QLD,Catholic,Primary,Outer Regional,1033,15,4.6,254,114,140,3,6
St Joseph's School,QLD,Catholic,Primary,Inner Regional,1005,5.2,2.9,51,23,28,8,12
St Joseph's School,QLD,Catholic,Primary,Outer Regional,916,3.9,1.9,29,16,13,21,17
St Maria Goretti School,QLD,Catholic,Primary,Outer Regional,865,3.6,2.3,31,15,16,42,6
St Mary's School,QLD,Catholic,Combined,Outer Regional,1038,28,16.5,421,203,218,3,3
St Mary's School,QLD,Catholic,Primary,Inner Regional,1012,20,8.2,310,166,144,8,4
St Monica's School,QLD,Catholic,Primary,Inner Regional,966,9,6,143,77,66,10,10
St Mary's School,QLD,Catholic,Primary,Very Remote,1002,8.4,4.3,113,54,59,18,3
St Patrick's School,QLD,Catholic,Primary,Inner Regional,1012,6,3.1,72,27,45,1,0
St Patrick's School,QLD,Catholic,Primary,Remote,1003,10.6,6.9,161,76,85,15,1
St Patrick's Primary School,QLD,Catholic,Primary,Very Remote,941,3.3,2.9,31,18,13,16,0
St Saviour's Primary School,QLD,Catholic,Primary,Inner Regional,1061,23.3,9.1,400,220,180,4,15
St Stephen's School,QLD,Catholic,Primary,Inner Regional,1019,9.5,2.9,149,77,72,3,6
St Thomas More's Primary School,QLD,Catholic,Primary,Inner Regional,1043,24.8,9,418,198,220,2,17
Our Lady of the Southern Cross College,QLD,Catholic,Combined,Inner Regional,1019,40.9,19,562,278,284,5,6
Our Lady of the Sacred Heart Catholic Primary School,QLD,Catholic,Primary,Remote,1052,4.7,2,41,28,13,0,8
Sacred Heart Catholic Primary School,QLD,Catholic,Primary,Inner Regional,1040,22.4,8.4,395,209,186,5,4
Star of the Sea Catholic Primary School,QLD,Catholic,Primary,Inner Regional,1026,16.6,8.9,276,139,137,7,15
St Anne's Catholic Primary School,QLD,Catholic,Primary,Outer Regional,978,12.6,5.8,184,94,90,9,4
St Anthony's Catholic Primary School,QLD,Catholic,Primary,Inner Regional,1011,30.8,13.9,503,228,275,10,12
St Francis Xavier Catholic Primary School,QLD,Catholic,Primary,Inner Regional,1042,28.6,14.6,542,296,246,3,11
St John's Catholic Primary School,QLD,Catholic,Primary,Outer Regional,1019,17.2,7.5,256,127,129,1,0
St John the Baptist Catholic Primary School,QLD,Catholic,Primary,Inner Regional,1026,27.8,14.3,526,260,266,5,10
St Joseph's Catholic Primary School,QLD,Catholic,Primary,Very Remote,1019,4.5,2,41,18,23,20,10
St Joseph's Catholic Primary School,QLD,Catholic,Primary,Outer Regional,1006,13.2,6.1,184,95,89,2,13
St Joseph's Catholic Primary School,QLD,Catholic,Primary,Very Remote,1012,7.1,2,76,37,39,1,5
St Joseph's Catholic Primary School,QLD,Catholic,Primary,Inner Regional,1012,11.8,5.1,167,85,82,8,10
St Joseph's Catholic Primary School,QLD,Catholic,Primary,Remote,1012,10.1,3.5,136,71,65,0,5
